market,report_date,gross_amount,net_amount,source_url,fetched_at
TPEX_EMERGING,2026-05-15,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-15,26950,26950,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-15,15171015,4116011,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-14,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-14,11171507,3244277,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-14,82484714,13217310,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-13,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-13,2785000,2785000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-13,13663987,6866107,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-12,206,-8,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-12,6980140,1449260,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-12,43112773,1012671,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-11,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-11,4378950,2909750,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-11,17572452,1130748,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-08,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-08,24032500,1621500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-08,66112445,2534093,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-07,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-07,8286620,1820560,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-07,16952816,639316,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-06,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-06,9832000,282000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-06,6952200,611300,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-05,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-05,7124000,268000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-05,42461872,6463472,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-05-04,43,43,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-05-04,3159461,541841,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-05-04,5061096,1186576,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-30,832000,20000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-30,2888937,513801,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-30,74586916,1454574,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-29,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-29,28596000,978000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-29,10664915,950997,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-28,2109020,51870,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-28,86827658,86827658,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-28,63008045,12635777,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-27,8970,8970,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-27,329357958,34911158,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-27,162397590,12448690,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-24,81700,81700,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-24,5864950,149450,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-24,27587895,2630025,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-23,3816500,1426500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-23,15911489,1360489,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-22,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-22,64574200,-505400,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-22,15699290,1327830,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-21,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-21,139890500,-112168500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-21,1126752,796552,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-20,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-20,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-20,2733816,695928,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-17,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-17,10676500,694500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-17,3412000,486000,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-16,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-16,41955000,1070000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-16,42862539,3491655,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-15,387000,387000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-15,600000,600000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-15,1628921,333081,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-14,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-14,149690000,2164000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-14,19735682,3116532,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-13,7780,7780,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-13,185000,185000,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-13,6790782,1716342,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-10,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-10,6037900,-36100,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-10,4018170,1101270,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-09,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-09,104890,104890,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-09,1918281,372551,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-08,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-08,10040120,514914,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-08,27713755,1146319,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-07,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-07,797200,10800,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-07,5165143,583313,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-02,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-02,19814223,3149223,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-02,56501799,7827763,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-04-01,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-04-01,8651350,209550,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-04-01,24134645,3592045,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-31,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-31,1480054,70544,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-31,17062705,709509,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-30,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-30,13110826,2303226,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-30,18915348,3355048,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-27,8600,8600,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-27,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-27,5602,5602,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-26,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-26,10657000,762200,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-26,60020630,3623230,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-25,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-25,21792500,2244100,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-25,56705630,1437530,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-24,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-24,47022150,1382750,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-24,50159451,9555061,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-23,9462094,3035708,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-23,42722637,1985737,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-20,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-20,6258970,1845270,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-20,13325969,1758849,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-19,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-19,421750,421750,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-19,30047176,916076,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-18,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-18,3120525,64525,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-18,58875483,2084867,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-17,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-17,10229400,-4192200,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-17,43714618,1854502,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-16,78100,78100,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-16,2002610,1732610,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-16,56234183,2412529,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-13,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-13,745250,1750,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-13,15967950,10582250,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-12,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-12,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-12,26490484,602168,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-11,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-11,4783735,163735,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-11,27222946,2399254,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-10,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-10,30819,30819,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-10,11115244,412844,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-09,5505,5505,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-09,29781500,444500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-09,32777535,3840231,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-06,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-06,4778550,160150,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-06,27919240,3741040,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-05,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-05,18543712,6208112,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-05,236229275,16018875,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-04,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-04,2541651,401651,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-04,35108695,8331467,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-03,722,722,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-03,16936350,71850,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-03,70461577,5348245,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-02,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-02,3429380,106700,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-02,9724458,564180,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-26,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-26,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-26,14742395,782195,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-25,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-25,1681450,46650,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-25,9700789,675895,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-24,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-24,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-24,0,0,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-23,0,0,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
